caseid,injseverity
81:38:02,3
79:21:02,1
49:39:01,0
13:50:01,1
78:36:01,1
53:10:01,3
74:07:01,3
46:47:02,3
6:59:01,3
0.542372685,3
73:24:01,3
41:50:01,1
6:38:02,2
0.546550926,1
49:43:02,2
72:22:01,1
80:13:02,3
44:42:01,1
3:12:01,1
41:58:01,3
46:51:02,3
73:53:01,3
9:36:01,1
53:10:01,0
0.618773148,1
53:16:01,3
43:23:01,0
0.456261574,0
81:22:01,3
5:48:02,1
43:58:01,3
0.470856481,3
48:44:02,0
76:56:01,3
46:16:01,3
73:02:01,1
79:30:02,3
51:18:01,0
0.654178241,1
0.284733796,1
0.463217593,3
44:54:01,2
82:38:02,3
0.592372685,1
76:50:01,3
79:35:01,3
47:46:01,3
49:18:01,0
45:51:02,1
48:29:02,3
50:16:02,1
82:18:01,3
0.629189815,3
0.54306713,1
47:13:01,0
0.439594907,3
83:31:02,1
2:04:01,3
48:08:02,3
0.386828704,0
77:07:01,0
46:10:02,3
43:39:02,3
0.584039352,3
49:55:01,3
76:50:01,1
72:17:01,3
50:33:02,3
81:08:01,0
0.597939815,1
4:07:01,2
76:02:02,1
50:56:02,1
0.453483796,0
42:58:01,3
51:27:03,3
6:06:02,0
45:37:01,2
75:06:01,3
0.404884259,1
50:14:02,3
76:43:01,3
45:22:01,0
73:34:02,1
0.490289352,0
12:10:01,3
0.232650463,1
46:01:02,1
45:05:01,1
46:55:02,2
74:40:01,3
48:42:01,0
45:51:02,3
0.653483796,1
3:21:02,1
50:46:01,3
52:03:02,3
75:17:01,3
48:40:02,1
81:29:01,0
0.415289352,3
0.217384259,3
0.451412037,1
45:56:02,3
82:23:02,1
8:42:02,1
13:22:01,1
46:03:01,3
48:23:01,1
81:51:02,2
0.313206019,2
49:59:01,1
0.667384259,1
0.468078704,1
44:46:01,3
0.380578704,0
83:25:01,3
0.431956019,3
0.620856481,3
75:38:02,0
0.675717593,3
80:47:01,1
0.536828704,3
0.513217593,1
9:50:01,3
0.481261574,3
49:23:02,0
42:05:02,3
75:07:01,0
76:34:01,3
83:17:01,3
0.61806713,3
13:24:01,3
49:29:01,1
13:41:02,1
83:05:02,0
82:02:02,1
8:04:02,3
42:08:02,3
0.620162037,3
43:24:01,1
76:54:02,3
0.48681713,3
0.625706019,3
83:55:02,3
80:14:02,3
0.516678241,3
0.51806713,1
76:38:02,3
46:51:01,3
44:31:02,1
47:51:01,1
9:46:01,3
0.616678241,1
0.158344907,1
0.606956019,0
74:26:02,3
0.616678241,3
44:14:03,0
0.643761574,3
74:46:02,1
0.627789352,0
43:41:02,2
46:04:02,1
42:35:01,0
82:00:02,3
81:40:02,3
51:40:01,1
44:32:02,1
50:05:01,0
80:35:01,3
46:15:02,0
74:15:01,1
76:09:02,3
83:14:02,3
0.550023148,3
0.382662037,3
76:09:02,3
44:55:01,3
47:59:02,2
83:33:02,0
11:54:01,1
0.570150463,1
45:04:01,0
13:37:01,3
47:55:02,0
75:12:02,3
6:20:01,3
74:16:01,3
44:10:01,3
73:38:01,3
2:08:01,0
0.292372685,1
74:57:02,0
11:52:01,3
48:57:01,1
80:08:01,1
0.631967593,1
46:06:02,0
0.566678241,3
8:23:04,3
4:46:01,3
77:49:01,1
48:37:02,1
0.590289352,1
49:31:01,1
0.417372685,3
43:31:02,0
46:16:01,0
0.391689815,1
0.163229167,1
0.302789352,1
0.677094907,3
0.268773148,3
0.606261574,1
44:51:02,0
4:43:01,3
48:45:02,1
46:21:01,1
46:54:01,2
44:49:01,2
75:03:01,3
47:13:02,3
47:07:01,3
0.489594907,1
49:30:01,1
53:27:01,3
2:16:02,3
76:19:01,3
0.512523148,1
0.658356481,1
50:54:01,3
3:15:02,1
48:18:01,2
48:45:01,1
0.543078704,0
9:11:02,1
75:24:02,1
48:35:02,3
0.642384259,3
0.131261574,3
0.72431713,3
0.48681713,3
77:39:02,3
75:35:03,3
0.557662037,3
51:29:01,1
49:33:02,0
46:14:01,3
0.600011574,1
46:40:01,1
0.250717593,3
75:15:01,3
0.544456019,3
0.552094907,0
77:23:02,3
76:09:01,1
9:11:01,1
76:46:01,3
78:04:01,3
0.625717593,3
0.18056713,1
12:54:01,0
51:14:01,3
0.276400463,3
12:10:01,3
0.621539352,1
75:05:01,3
82:56:01,3
87:21:02,3
83:06:02,3
78:35:01,1
74:36:01,3
2:55:02,3
0.647928241,0
81:16:03,0
46:59:02,1
83:22:01,3
2:31:01,3
73:39:01,3
53:30:01,3
75:57:02,1
0.170150463,3
0.587511574,3
12:03:02,1
82:33:02,3
75:40:02,3
0.56806713,1
45:57:02,3
0.577094907,1
81:15:01,3
80:06:02,1
0.602094907,3
0.502789352,3
0.258344907,0
0.605578704,3
79:01:02,3
2:16:02,3
77:42:01,0
42:27:01,3
77:23:02,1
77:34:01,1
50:33:02,1
87:22:01,3
75:43:01,1
48:39:01,1
6:05:01,1
0.570150463,3
45:56:01,1
8:05:01,1
73:03:02,3
75:01:01,0
47:32:01,0
0.690289352,3
51:04:01,0
0.41806713,1
0.688217593,1
51:08:01,2
44:02:02,0
51:01:01,1
0.338206019,2
46:31:02,3
43:47:01,1
82:21:04,3
74:03:02,3
0.598622685,1
2:04:01,1
76:32:02,1
0.247233796,3
13:33:01,1
76:55:02,1
5:01:02,3
0.430578704,3
48:08:02,3
72:13:01,3
11:09:01,3
48:37:02,1
0.490300926,3
13:13:01,1
12:33:01,0
43:40:01,3
81:59:02,3
82:05:01,3
9:46:01,3
0.677106481,3
75:05:02,0
45:34:01,0
50:41:01,1
81:06:01,0
0.132650463,0
0.256956019,1
0.215289352,3
0.416689815,3
80:34:02,3
0.549328704,0
74:58:02,3
4:47:01,3
42:23:02,0
51:27:01,1
4:34:01,1
77:38:01,1
41:08:01,3
47:53:01,3
13:30:01,3
0.445162037,3
78:00:01,1
0.491678241,3
52:17:02,3
46:43:02,0
43:31:01,0
0.418761574,1
77:17:02,1
75:18:02,1
0.218773148,3
0.581261574,0
0.490983796,3
13:50:02,1
0.270856481,1
0.653483796,3
0.316689815,0
44:07:01,3
0.565300926,2
76:54:02,1
47:38:01,3
50:31:01,1
8:05:02,3
82:03:01,3
49:14:01,3
75:38:02,3
76:00:01,1
9:53:02,0
0.490300926,1
80:00:02,3
48:10:02,1
45:23:02,3
41:13:01,0
8:52:02,0
82:37:03,3
42:52:01,0
74:47:02,3
51:06:03,3
49:21:01,3
53:16:02,3
75:59:01,3
0.544456019,1
0.481956019,2
51:11:02,1
47:10:01,1
0.613912037,1
75:32:01,0
78:02:02,0
48:59:01,1
53:12:01,1
42:49:02,3
0.47849537,1
0.470162037,3
79:38:01,3
75:02:01,3
83:06:01,3
51:14:01,3
0.34931713,3
0.501400463,2
41:30:01,3
0.457662037,3
0.210428241,3
0.173622685,1
82:42:01,3
8:12:02,0
0.514606481,1
78:02:02,3
3:17:02,1
0.608344907,3
42:37:01,1
12:29:01,3
46:24:01,3
12:40:01,0
43:37:01,3
45:07:01,2
77:52:03,3
44:34:01,1
79:57:01,3
0.177800926,1
41:26:03,3
85:34:01,3
49:22:02,1
0.652789352,3
83:46:01,3
45:28:01,3
74:19:01,3
45:08:01,1
0.581956019,2
45:39:02,1
0.504189815,1
0.419467593,3
75:30:03,3
47:28:01,3
0.934050926,3
42:07:02,3
0.581956019,1
6:37:02,3
76:14:01,3
82:52:01,3
80:26:01,3
50:47:02,1
12:08:01,0
0.186122685,3
76:15:01,3
43:49:01,3
4:10:01,3
74:52:01,3
0.63056713,1
9:51:02,3
0.586134259,3
74:06:01,0
75:22:01,3
13:14:02,3
0.492372685,2
43:00:01,3
49:31:01,3
52:33:02,3
76:37:01,3
83:37:02,0
43:32:01,0
49:08:02,1
0.679884259,3
77:40:01,3
45:29:01,0
75:34:01,3
51:14:02,1
77:21:01,0
78:18:01,1
45:34:01,3
52:02:02,3
84:34:01,3
0.631261574,1
0.159050926,1
75:25:01,3
51:37:01,3
5:20:02,1
41:52:01,3
73:13:01,0
74:38:01,3
82:21:02,0
79:06:01,3
48:14:02,3
52:38:01,3
75:47:02,3
82:22:01,3
0.439594907,0
0.590983796,0
79:06:01,3
82:41:03,3
0.464606481,0
73:54:01,3
2:33:02,1
11:49:01,0
0.431261574,1
0.215983796,3
0.646550926,1
74:26:02,3
0.587523148,1
82:54:02,3
82:45:02,1
47:19:01,3
49:58:01,3
0.192372685,1
4:44:01,3
2:51:01,1
9:41:01,0
77:24:02,1
0.44306713,1
0.531261574,3
44:58:01,3
4:41:01,3
73:35:02,3
46:23:02,3
0.465300926,1
0.635439815,1
0.170162037,3
0.378483796,1
75:24:01,3
49:59:02,0
75:17:01,3
75:09:01,1
0.13056713,3
83:32:02,1
46:09:01,1
75:41:01,0
43:02:01,0
81:28:01,3
43:41:01,1
0.609039352,3
0.28681713,1
51:21:01,1
80:34:02,3
0.652789352,3
0.637511574,1
46:03:02,1
80:52:01,3
4:20:02,0
0.522233796,1
5:54:02,1
74:11:02,3
50:09:01,1
43:01:01,1
49:23:02,1
81:41:01,0
73:05:01,3
0.519467593,1
0.61181713,1
45:38:01,3
50:31:01,0
0.211122685,2
51:22:01,3
73:52:02,3
49:56:02,0
75:35:01,2
74:42:04,3
50:37:02,1
58:21:01,3
80:06:02,3
82:07:02,1
0.489594907,1
46:14:02,1
49:21:07,3
8:16:02,0
74:45:01,3
0.625706019,3
43:22:01,1
45:19:03,1
77:52:01,1
0.577800926,3
0.598634259,3
77:53:02,0
81:00:01,3
0.548634259,3
0.603483796,0
74:51:01,3
0.520856481,3
74:27:01,3
75:35:02,3
0.446539352,3
0.134733796,1
79:31:02,3
50:16:01,3
49:43:01,1
5:07:02,0
0.234039352,3
79:53:01,2
74:39:02,3
0.569456019,1
0.152800926,3
47:30:01,1
50:50:01,1
0.59099537,1
72:52:01,3
49:44:01,0
48:18:01,1
0.60349537,3
5:44:01,0
53:35:02,0
76:09:02,3
77:09:02,1
76:33:02,1
43:03:01,3
9:25:01,1
76:24:01,1
8:21:02,3
9:55:02,3
81:36:01,0
76:03:01,1
0.636828704,0
77:11:02,1
47:12:02,3
0.451400463,3
0.225706019,3
9:43:02,3
0.240289352,3
46:18:02,3
0.463206019,1
43:42:02,3
11:50:01,1
80:52:01,3
72:42:01,3
75:13:01,3
75:15:02,0
4:03:02,1
46:20:01,1
79:10:02,3
78:02:02,3
75:43:02,3
81:02:01,3
43:20:02,0
47:43:02,1
76:39:01,1
49:36:01,1
0.693761574,3
82:42:02,0
41:23:02,3
4:44:02,3
0.334039352,3
6:36:01,3
0.548634259,3
5:36:01,1
74:04:02,3
9:34:01,2
6:21:02,3
0.462511574,1
0.167372685,3
78:23:01,0
74:13:02,0
46:58:02,1
0.180578704,0
0.598634259,3
0.571539352,0
0.527106481,1
84:20:02,3
4:41:02,0
50:17:01,3
0.147233796,0
48:12:01,3
76:13:01,3
9:11:01,1
0.419456019,1
0.618761574,0
75:00:01,3
78:18:03,0
74:39:01,3
12:58:01,1
0.229189815,1
81:51:01,3
50:31:01,1
77:26:03,1
51:54:01,0
0.611134259,3
82:58:03,0
0.245150463,2
0.697928241,1
0.592372685,1
75:59:02,3
8:17:02,3
80:19:01,3
51:59:02,1
6:47:02,0
43:49:02,3
13:20:02,1
0.465289352,1
0.450706019,1
75:33:02,3
49:22:01,1
0.625706019,1
0.623622685,2
50:20:02,1
75:38:01,3
0.624328704,1
0.631273148,3
75:14:02,2
74:44:03,3
44:56:01,1
13:01:01,2
44:47:01,0
41:19:02,3
75:31:02,3
74:48:01,3
51:13:01,3
47:38:02,1
74:58:01,3
0.65974537,3
51:06:01,1
52:17:02,3
0.655578704,1
48:27:01,3
45:04:02,3
0.584050926,3
0.681261574,3
50:21:02,1
0.638900463,3
81:49:02,3
12:14:01,0
51:44:02,1
12:22:02,3
8:17:01,1
0.641678241,3
6:13:01,3
78:46:01,3
0.240289352,3
83:00:01,3
13:04:01,3
82:21:01,1
81:21:02,3
47:24:02,1
75:18:02,3
74:35:01,2
0.5153125,3
45:27:01,2
78:45:01,3
12:20:02,0
81:25:02,0
74:40:02,3
76:13:01,1
47:01:01,3
76:13:01,3
80:21:02,0
75:23:01,3
50:02:01,1
50:54:01,3
0.532650463,1
52:57:02,3
44:10:01,0
76:24:02,1
75:45:03,3
0.670856481,3
73:05:02,3
44:51:01,1
41:03:01,3
9:24:02,3
75:50:02,3
72:05:02,3
0.179178241,3
13:01:01,3
74:34:02,3
81:33:01,3
42:34:01,3
76:19:01,0
81:29:02,3
47:40:02,3
77:25:02,3
8:05:02,0
51:05:01,3
5:33:02,0
4:44:02,3
0.681956019,3
76:37:01,1
80:00:01,3
0.22431713,3
56:26:01,3
79:35:01,3
77:42:01,0
53:04:01,0
78:08:02,3
0.596539352,1
41:19:02,3
76:30:01,1
46:30:01,2
50:53:02,3
78:14:02,0
50:36:01,1
45:18:01,3
4:22:01,3
0.252789352,1
80:21:01,3
0.62849537,0
75:02:02,0
0.196550926,3
45:00:01,3
73:13:02,3
0.667372685,3
0.598634259,0
83:02:01,3
51:28:01,3
45:43:02,3
43:12:01,3
42:21:02,3
49:40:01,1
74:59:01,3
0.61599537,0
12:16:01,3
0.63056713,0
0.295150463,1
0.439594907,1
13:08:02,1
83:16:02,3
75:41:02,0
0.479872685,3
4:34:01,1
79:25:04,1
46:57:02,3
45:20:02,0
5:12:01,2
50:15:01,1
0.635428241,1
44:05:01,0
52:10:01,3
50:35:02,1
44:38:01,1
9:49:02,3
0.607662037,1
0.234733796,1
74:08:02,3
73:50:02,1
11:55:02,3
45:15:01,3
45:02:01,2
45:04:01,1
78:32:02,3
46:54:01,0
51:34:02,2
0.268761574,3
0.226412037,1
77:09:01,1
75:12:02,0
81:10:02,3
44:30:02,1
6:26:02,2
79:47:02,3
43:19:01,3
48:17:02,2
9:34:01,3
79:59:02,3
0.395150463,3
0.446550926,1
50:04:01,0
75:14:02,0
83:06:01,3
51:46:01,3
82:17:01,3
87:21:02,3
44:13:01,3
48:35:01,3
0.615983796,0
45:58:01,1
48:32:02,3
75:40:01,0
75:07:01,3
45:54:01,1
49:27:02,3
43:20:01,3
76:01:01,0
2:24:01,0
49:33:01,3
1.02224537,3
47:44:01,3
0.55349537,2
0.212523148,3
78:33:02,1
76:18:03,3
13:12:01,1
0.143761574,0
0.394456019,1
76:22:02,1
45:55:02,3
3:08:01,3
0.570844907,1
78:56:01,0
43:19:01,0
2:58:02,3
0.238900463,1
76:07:01,3
0.412511574,1
0.461122685,3
45:24:03,1
50:45:02,3
0.193773148,1
0.13681713,1
48:28:01,3
2:28:01,3
76:22:02,3
0.675706019,2
46:33:01,3
84:01:02,3
81:12:02,3
50:46:01,1
0.572233796,3
81:35:01,3
0.504178241,3
79:53:01,3
73:28:01,1
75:51:02,3
4:45:01,3
75:13:02,1
52:57:02,3
78:34:01,3
0.556261574,3
0.426400463,0
42:32:01,3
0.485439815,0
6:36:01,0
0.602094907,3
76:02:01,1
0.670844907,3
50:32:01,1
43:03:01,0
43:47:01,1
47:38:01,3
49:35:02,3
43:48:01,1
44:06:02,3
49:47:01,0
51:35:02,3
12:09:01,0
41:42:02,1
44:05:05,3
82:38:02,3
75:36:01,3
0.603483796,3
78:04:01,3
53:21:01,3
81:50:02,0
0.595150463,0
0.44306713,3
80:47:02,3
82:28:02,1
41:46:01,2
49:21:02,1
76:30:01,2
81:56:02,3
51:08:02,3
51:35:01,3
6:54:04,3
75:40:02,1
0.44306713,3
76:22:01,1
0.463206019,0
44:57:01,1
46:39:01,3
0.595856481,1
0.594456019,3
0.645856481,1
0.505578704,3
47:15:02,3
74:15:01,1
45:53:02,3
45:00:01,0
45:19:02,3
11:40:01,1
12:05:02,3
46:44:01,3
74:40:02,3
12:14:02,3
82:24:02,3
45:38:02,0
72:08:01,3
41:17:01,3
0.502800926,3
0.626412037,1
77:52:01,0
41:02:01,3
50:25:01,3
0.622939815,3
41:59:02,3
0.438217593,1
43:00:02,3
49:44:01,2
0.581967593,0
81:07:02,1
4:02:01,1
49:58:01,3
0.467384259,3
82:20:02,0
44:32:01,1
1.015289352,3
82:07:01,1
0.212523148,3
73:52:02,0
75:32:02,0
45:02:01,3
76:14:02,3
80:22:03,3
0.462523148,0
0.558356481,3
5:53:02,1
0.692384259,1
56:30:02,3
80:45:02,3
78:15:01,0
48:21:01,1
45:05:01,3
80:40:01,3
77:15:01,1
50:22:02,1
45:26:02,0
48:49:01,1
0.571539352,2
79:46:02,3
0.312511574,0
0.154872685,3
0.294456019,1
50:32:02,3
42:42:02,0
0.497233796,3
76:03:01,3
0.471550926,1
45:32:01,3
0.236134259,1
46:06:02,0
75:12:02,3
44:41:01,0
47:03:01,3
76:27:01,3
6:12:03,3
11:38:02,1
44:38:02,1
0.440300926,1
0.131261574,3
0.213900463,1
0.62849537,3
11:56:01,1
76:35:02,0
53:30:01,3
51:07:02,0
48:21:01,1
0.526400463,1
0.419456019,3
0.280578704,1
76:10:02,3
5:08:01,3
43:41:01,3
76:06:02,0
0.295150463,3
76:36:02,3
2:35:02,0
47:04:01,1
2:56:01,3
82:26:01,3
79:24:01,1
0.143761574,3
77:11:01,0
9:29:02,3
0.583344907,1
78:13:02,3
0.163900463,3
8:55:01,3
6:28:01,1
0.426400463,0
45:15:02,0
74:43:01,1
12:08:01,3
8:36:02,1
0.270844907,1
74:43:01,3
74:33:02,3
74:58:01,2
0.643773148,0
50:37:02,1
41:39:01,0
77:56:02,3
5:20:01,3
76:13:02,3
51:37:02,1
81:14:01,3
45:45:01,3
80:05:02,3
51:39:02,0
41:40:01,3
49:14:01,3
51:19:02,0
0.32224537,3
75:18:02,1
46:44:02,3
75:21:01,0
76:24:02,1
75:07:02,3
0.169456019,1
81:24:01,3
41:57:02,3
82:38:01,3
8:39:02,1
51:25:01,3
9:59:01,3
49:40:02,1
0.541678241,3
0.626412037,3
50:25:02,3
4:55:02,3
47:41:02,3
11:44:01,3
73:46:01,3
45:17:01,3
50:08:01,3
76:38:02,3
50:56:02,3
49:54:02,1
0.275717593,1
43:45:01,1
79:46:01,3
77:38:02,1
0.59724537,3
44:03:01,3
0.604189815,1
12:22:01,3
46:43:01,3
77:12:01,0
12:59:03,3
75:40:01,1
0.30556713,1
46:27:01,0
80:56:01,2
51:31:01,3
74:26:02,1
48:24:02,0
73:49:01,3
0.443773148,1
41:26:01,1
78:56:01,0
48:58:01,1
0.645162037,1
0.318078704,3
0.447939815,1
46:15:02,3
0.305578704,3
0.432650463,1
9:15:02,3
0.151400463,3
74:15:01,1
80:55:02,1
9:46:02,1
41:31:02,3
43:34:02,0
74:53:01,0
0.613206019,1
0.343773148,3
0.315983796,0
44:01:02,0
43:49:02,1
49:01:01,1
0.153483796,1
0.54099537,1
13:28:02,1
78:38:01,0
75:36:01,1
9:56:02,3
74:56:01,3
0.29931713,1
43:19:01,0
75:21:02,3
84:13:02,3
48:22:02,0
46:25:01,3
0.593773148,0
0.660439815,0
0.650717593,3
0.27224537,3
44:14:03,0
0.609039352,0
49:15:02,0
3:52:01,3
72:36:01,3
51:50:02,1
44:41:01,3
0.556261574,1
72:46:02,3
0.573634259,3
74:07:01,3
42:28:01,0
50:16:01,3
44:57:01,1
0.650011574,3
12:14:02,3
0.125011574,3
73:05:01,1
51:34:01,3
0.127800926,2
72:38:01,3
43:47:02,3
77:03:01,2
0.302789352,1
77:55:01,1
13:23:01,3
8:05:01,3
2:13:01,3
0.275023148,1
0.135439815,3
73:36:02,0
0.568078704,1
0.530578704,1
78:21:01,1
48:36:02,1
50:05:01,1
46:33:02,1
77:30:01,0
45:36:01,3
0.447928241,1
45:49:01,3
4:38:01,1
73:00:02,0
8:14:01,1
0.539594907,3
0.606273148,3
76:02:02,0
76:16:01,0
49:11:01,1
76:37:01,3
75:42:01,3
9:09:01,0
41:09:02,1
82:14:01,3
78:05:01,3
0.66806713,3
4:41:01,0
41:53:01,3
46:11:01,3
45:42:01,3
4:55:02,3
0.538217593,3
0.452789352,3
0.130578704,3
41:37:02,3
75:31:01,3
43:41:01,3
47:47:02,3
0.379189815,1
0.29099537,0
12:53:02,1
0.645844907,1
0.629178241,3
46:19:01,3
51:34:01,3
9:57:01,3
6:14:01,3
0.561122685,2
5:41:02,3
0.689594907,3
0.688206019,1
0.551400463,1
46:57:02,0
0.437511574,1
0.252800926,3
75:50:01,3
47:16:01,3
0.24306713,3
0.545150463,1
0.449328704,1
0.152106481,1
82:30:01,3
4:25:01,3
0.569456019,3
44:29:02,3
0.148622685,1
8:52:02,3
75:30:01,3
0.151412037,3
79:04:01,1
43:50:02,3
0.22431713,3
4:56:02,0
43:44:01,3
81:50:01,3
0.450011574,1
47:14:02,1
9:41:02,1
0.61181713,2
48:41:01,3
76:21:02,3
0.592372685,3
4:56:01,1
75:14:01,2
73:32:02,3
12:40:01,2
83:00:02,1
47:56:01,3
82:22:02,3
0.506967593,3
2:54:01,3
51:23:02,3
81:02:02,3
74:19:01,1
82:32:01,3
79:27:01,1
82:17:02,3
79:29:01,3
76:03:01,3
73:03:02,3
0.650706019,3
43:38:02,3
74:35:01,3
47:44:01,0
4:49:01,0
72:44:01,3
46:29:01,3
0.565289352,1
0.637511574,3
79:22:01,3
47:01:01,1
0.554884259,3
52:12:01,0
2:24:02,3
48:17:01,1
75:20:01,3
0.620150463,2
48:33:02,1
12:44:01,1
0.657650463,1
0.573622685,3
45:33:02,3
75:59:02,3
73:33:01,1
44:26:02,3
47:27:01,3
43:33:02,3
48:27:02,1
50:23:01,3
2:54:01,1
78:12:01,1
80:59:02,1
50:13:02,1
0.622233796,0
0.506261574,3
0.393761574,1
11:15:02,3
45:35:02,3
82:22:02,1
76:27:01,3
0.441678241,1
0.650706019,3
74:41:02,3
0.159733796,3
75:41:02,3
80:10:02,1
0.493761574,3
6:16:01,3
48:39:02,3
48:53:02,1
81:10:02,3
78:56:02,0
5:10:01,1
75:03:01,3
11:48:02,3
76:43:01,1
0.443773148,0
82:10:01,3
0.565289352,3
12:28:02,3
12:28:01,1
42:51:02,1
75:42:01,3
74:59:01,3
52:23:01,1
75:29:01,3
84:02:02,3
0.23056713,3
53:06:01,3
0.439594907,1
12:55:01,3
48:14:02,0
82:19:02,3
75:28:01,3
43:37:02,3
0.300717593,3
43:35:02,1
13:02:02,1
47:31:01,0
8:01:01,1
73:29:01,3
42:14:01,3
46:15:02,0
0.583344907,1
6:58:01,3
41:45:01,3
2:50:02,3
74:44:02,3
8:11:02,0
75:20:01,3
0.646550926,3
44:55:02,1
3:37:02,1
0.150706019,3
0.592372685,3
50:19:02,3
41:05:02,3
49:19:02,1
43:59:01,0
0.408344907,1
46:39:01,0
,1
75:49:01,1
45:51:01,3
80:32:01,1
75:57:02,0
0.400011574,1
77:34:01,0
43:08:02,2
46:12:01,1
46:34:01,1
4:18:01,1
48:24:03,0
49:36:01,1
4:09:02,1
0.690300926,1
0.643078704,0
46:47:01,1
0.692384259,3
0.584039352,0
77:53:02,3
50:56:01,1
2:13:02,3
0.484050926,2
82:47:01,3
79:59:01,3
47:15:01,3
42:24:02,1
75:19:02,0
0.556273148,0
74:47:02,0
48:38:01,3
2:37:01,1
50:50:02,3
81:19:02,1
79:01:02,3
47:00:02,3
82:04:01,1
3:52:01,3
6:31:01,0
74:46:02,3
81:30:01,3
50:31:02,3
47:58:02,3
0.550717593,3
75:05:01,3
74:31:01,1
72:12:02,3
74:08:01,3
0.479884259,3
42:24:02,0
76:02:02,3
0.602106481,3
43:25:01,1
13:06:01,3
0.473634259,3
0.34931713,3
9:55:03,1
0.139606481,3
49:04:01,1
45:30:01,1
0.294467593,3
84:23:01,3
84:15:02,3
78:54:02,0
79:54:01,3
73:44:01,3
45:36:02,1
51:32:01,0
73:27:02,3
5:07:02,1
78:46:02,3
0.645844907,3
76:00:01,3
51:45:02,1
78:20:01,0
43:13:01,3
76:33:02,0
